id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo
5611,5614,I-3,CENTRO DE SALUD BAYOVAR,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. 1ERO DE MAYO 3RA ETAPA - AAHH BAYOVAR DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9913771,-11.9521131,1312
5612,5615,I-3,CENTRO DE SALUD SU SANTIDAD JUAN PABLO II,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN ESQUINA JIRON EL PASO Y JIRON EL PARALELO S/N - AAHH JUAN PABLO II S/N ESQUINA JIRON EL PASO Y JIRON EL PARALELO S/N - AAHH JUAN PABLO II SAN JUAN DE LURIGANCHO LIMA LIMA,-76.9905243,-11.9448193,1312
5613,5616,I-3,10 DE OCTUBRE,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,OTROS MZ. F 5 S/N AAHH 10 DE OCTUBRE S/N MZ. F 5 S/N AAHH 10 DE OCTUBRE SAN JUAN DE LURIGANCHO LIMA LIMA,-76.9877759,-11.9452166,1312
5614,5617,II-2,HOSPITAL SAN JUAN DE LURIGANCHO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA ENTRE PARADERO 10 Y 11 DE AV. CANTO GRANDE (HUASCAR) DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0030573,-11.9665774,1312
5615,5618,I-3,CENTRO DE SALUD GANIMEDES,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA EL SOL MZ J S/N - URB. GANIMEDES S/N SAN JUAN DE LURIGANCHO LIMA LIMA,-77.0114007,-11.9831399,1312
5617,5620,I-3,CENTRO DE SALUD MEDALLA MILAGROSA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. EL PARQUE S/N -URB. SAN RAFAEL S/N AV. EL PARQUE S/N -URB. SAN RAFAEL SAN JUAN DE LURIGANCHO LIMA LIMA,-77.0058047,-11.9767362,1312
5618,5621,I-3,HUASCAR II,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,OTROS GRUPO II MZ 23 LTES. 101-107-108 - AAHH HUASCAR DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0109956,-11.9667218,1312
5619,5622,I-3,HUASCAR XV,LIMA DIRIS CENTRO,SAN JUAN DE LURIGANCHO,AVENIDA AV.RIO GRANDE S/N ALTURA PARADERO 9 AV.J.C.MARIATEGUI-HUASCAR GRUPO XV S/N AV.RIO GRANDE S/N ALTURA PARADERO 9 AV.J.C.MARIATEGUI-HUASCAR GRUPO XV SAN JUAN DE LURIGANCHO LIMA LIMA,-77.0026526,-11.9557782,1312
5620,5623,I-2,PUESTO DE SALUD PROYECTOS ESPECIALES,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA CRUCE DE AV. JOSÉ CARLOS MARIÁTEGUI S/N CON AV. BAYOVAR NÚMERO S/N DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9924377,-11.9558652,1312
5621,5624,I-3,JAIME ZUBIETA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,"JIRÓN JR.COCHARCAS MZ. A LT. 1 - ANEXO MZ. K-15, LOTE 46 AAHH JAIME ZUBIETA JR.COCHARCAS MZ. A LT. 1 - ANEXO MZ. K-15, LOTE 46 AAHH JAIME ZUBIETA SAN JUAN DE LURIGANCHO LIMA LIMA",-76.9888954,-11.9634978,1312
5622,5625,I-3,SANTA MARIA,LIMA DIRIS CENTRO,SAN JUAN DE LURIGANCHO,AVENIDA AV.HEROES DEL CENEPA MZ D2 - AAHH SANTA MARIA AV.HEROES DEL CENEPA MZ D2 - AAHH SANTA MARIA SAN JUAN DE LURIGANCHO LIMA LIMA,-76.975844,-11.9653616,1312
5623,5626,I-2,TUPAC AMARU II,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,OTROS MZ.A - LOTE S/N AAHH JAVIER PEREZ DE CUELLAR S/N MZ.A - LOTE S/N AAHH JAVIER PEREZ DE CUELLAR SAN JUAN DE LURIGANCHO LIMA LIMA,-77.0041423,-11.9719013,1312
5624,5627,I-3,CENTRO DE SALUD CRUZ DE MOTUPE,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV.CENTRAL S/N-GRUPO 5 - AAHH CRUZ DE MOTUPE (ALT PDO 8 AV.WIESSE) S/N AV.CENTRAL S/N-GRUPO 5 - AAHH CRUZ DE MOTUPE (ALT PDO 8 AV.WIESSE) SAN JUAN DE LURIGANCHO LIMA LIMA,-76.9749709,-11.9408268,1312
5625,5628,I-3,JOSE CARLOS MARIATEGUI,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. EL CRUCE MZ. H S/N AAHH JOSE CARLOS MARIATEGUI NÚMERO S/N DISTRITO SAN JUAN DE LURIGANCHO PROVINCIA LIMA DEPARTAMENTO LIMA,-76.9843804,-11.9450035,1312
5626,5629,I-3,ENRIQUE MONTENEGRO,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV.WIESSE S/N ENRIQUE MONTENEGRO (COSTADO COLEGIO NESTOR ESCUDERO - CRUCE CALLE 10) S/N AV.WIESSE S/N ENRIQUE MONTENEGRO (COSTADO COLEGIO NESTOR ESCUDERO - CRUCE CALLE 10) SAN JUAN DE LURIGANCHO LIMA LIMA,-76.9709422,-11.9370395,1312
5627,5630,I-2,JOSE CARLOS MARIATEGUI V ETAPA,LIMA DIRIS CENTRO,SAN JUAN DE LURIGANCHO,OTROS MZ. X1 LOTE 1 PROGRAMA MARISCAL CÁCERES SECTOR II MZ. X1 LOTE 1 PROGRAMA MARISCAL CÁCERES SECTOR II SAN JUAN DE LURIGANCHO LIMA LIMA,-76.990361,-11.931421,1312
5635,5638,I-3,CENTRO DE SALUD LEONCIO PRADO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV ALCAZAR CUADRA 3 - URB LEONCIO PRADO AV ALCAZAR CUADRA 3 - URB LEONCIO PRADO RIMAC LIMA LIMA,-77.0302538,-12.0316958,1308
5636,5639,I-3,CENTRO DE SALUD SAN JUAN DE AMANCAES,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,OTROS AAHH SAN JUAN DE AMANCAES 2DA ZONA DISTRITO RIMAC PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0294195,-12.0168446,1308
5637,5640,I-3,CIUDAD Y CAMPO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,JIRÓN JR. JACINTO BENAVENTE Nº 264 - ASOCIACION CIUDAD Y CAMPO JR. JACINTO BENAVENTE Nº 264 - ASOCIACION CIUDAD Y CAMPO RIMAC LIMA LIMA,-77.0282412,-12.0243191,1308
5639,5642,I-3,CENTRO DE SALUD VILLA LOS ANGELES,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV. LAS MERCEDES Nº 209 - PP.JJ. LOS ANGELES AV. LAS MERCEDES Nº 209 - PP.JJ. LOS ANGELES RIMAC LIMA LIMA,-77.02419715,-12.02349538,1308
5640,5643,I-3,MARISCAL CASTILLA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,PROLONGACIÓN PROLONG. SANCHO DAVILA S/N (JR PEDRO ARZOLA S/N) - AA.HH. MARISCAL CASTILLA / URB. EL BOSQUE S/N PROLONG. SANCHO DAVILA S/N (JR PEDRO ARZOLA S/N) - AA.HH. MARISCAL CASTILLA / URB. EL BOSQUE RIMAC LIMA LIMA,-77.0320255,-12.0178541,1308
5641,5644,I-4,CENTRO MATERNO INFANTIL RÍMAC,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,PASAJE PASAJE SAN GERMAN Nº 270 URB. VILLACAMPA - RIMAC PASAJE SAN GERMAN Nº 270 URB. VILLACAMPA - RIMAC RIMAC LIMA LIMA,-77.0336606,-12.0343399,1308
5731,5734,I-3,RAUL PORRAS BARRENECHEA,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,"JIRÓN JR AREQUIPA 4TA CUADRA S/N  - MZ 40 LOTE 17, PJ RAUL PORRAS BARRENECHEA S/N JR AREQUIPA 4TA CUADRA S/N  - MZ 40 LOTE 17, PJ RAUL PORRAS BARRENECHEA CARABAYLLO LIMA LIMA",-77.0244019,-11.8934379,1286
5732,5735,I-4,CENTRO MATERNO INFANTIL EL PROGRESO,LIMA DIRIS NORTE,NO PERTENECE A NINGUNA RED,AVENIDA AV. TUPAC AMARU Nº 2950 (KM 22) DISTRITO CARABAYLLO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.01699612,-11.87520403,1286
